Handle,Command,Title,Author,Body HTML,Summary HTML,Tags,Tags Command,Published,Published At,Image Src,Image Alt Text,Blog: Handle,Metafield: sga.thumbnail [file_reference],Metafield: sga.total_time_minutes [number_integer],Metafield: sga.servings [number_integer],Metafield: sga.dietary [list.single_line_text_field],Metafield: sga.main_product [product_reference],Metafield: sga.related_products [list.product_reference],Metafield: sga.related_articles [list.article_reference],Metafield: sga.you_might_also_like [list.article_reference],Metafield: sga.you_might_also_like_heading [single_line_text_field],Metafield: sga.related_products_heading [single_line_text_field],Metafield: sga.ingredients [list.single_line_text_field],Metafield: sga.ingredient_products [list.product_reference],Metafield: sga.eyebrow [single_line_text_field],Metafield: sga.serving_tip [single_line_text_field],Metafield: sga.difficulty [single_line_text_field],Metafield: sga.instructions [list.single_line_text_field]
rychla-zelena-polevka,MERGE,Rychlá zelená polévka,Sonnentor,,Dopřejte si polévku plnou živin a chuti a užijte si den s lehkostí.,"Jaro, Velikonoce, Koření, Zdraví, Video recepty",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/83917/image-thumb__83917__thumb-slider/rychla-zelena-polevka.c69c1b1e.jpg,Rychlá zelená polévka,recipes,rychla-zelena-polevka-thumb.jpg,15,2,"veganské, bez laktózy, vegetariánské",,,,"orientalni-ledovy-caj, velikonocni-mrkvova-marmelada, vejce-do-skla, bezlepkovy-cokokolac, pikantni-jehneci-s-mrkvovo-zazvorovou-polentou, jehneci-filety-s-fenyklem-a-pomerancovou-omackou, tropicke-tajemstvi, jarni-dortik-sila-kvetu","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""3|hrsti|baby špenátu"",""0.5|hrnku|jemných ovesných vloček"",""2|hrnky|teplé vody"",""1|stroužek|česneku"",""||Zeleninová polévka sv. Hildegardy - bujón"",""||soli"",""2|lžičky|olivového oleje""]",zdobeni-na-zeleninu-bio-45-g,Recept,Čerstvý špenát si můžete vypěstovat i doma.,,"[""Do mixéru nasypejte ovesné vločky, přidejte kostku zeleninového bujónu, špenát a zalejte teplou převařenou vodou. Vše rozmixujte."",""Přidejte stroužek česneku a vše ještě jednou důkladně promixujte."",""Polévku osolte a dochuťte olejem a ozdobte směsí koření.""]"
polevka-z-repy-a-smazeneho-cesneku-s-kuskusem,MERGE,Polévka z řepy a smaženého česneku s kuskusem,Sonnentor,,Vydatná polévka plná živin a originálních chuťových kombinací.,"Zdraví, Požitek, Koření, Podzim",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/83924/image-thumb__83924__thumb-slider/Polevka-z-repy-a-smazeneho-cesneku-s-kuskusem_1.e8e152f2.jpg,Polévka z řepy a smaženého česneku s kuskusem,recipes,polevka-z-repy-a-smazeneho-cesneku-s-kuskusem-thumb.jpg,70,6,"bez laktózy, vegetariánské, veganské",,,,"peceny-kapri-filet-v-makovem-obalu, rolada-z-krkovicky-s-dynovym-pyre, knedliky, dynove-hranolky, nakladane-lisky, dynovo-mrkvova-marmelada, polevka-z-cervene-repy2, polevka-z-cervene-repy-se-spaldovymi-noky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2||červené cibule"",""5|lžic|slunečnicového oleje"",""600|g|neloupané červené řepy"",""||lžičku soli"",""60|g|červené čočky"",""30|g|kuskusu"",""1||dcl rostlinné smetany"",""10|stroužků|česneku"",""3|lžíce|citronovou šťávu"",""||pažitku"",""||olivového oleje""]","kmin-rimsky-bio-cely-40g, tymian-bio-20g, zeleninova-polevka-sv-hildegardy-bio-cz",Recept,Římský kmín je zcela nepostradatelný v arabské i indické kuchyni. Jídlům dodá exotickou chuť.,,"[""V hrnci, ve kterém budete vařit polévku, orestujte na oleji najemno nakrájenou cibuli. Přidejte lžičku římského kmínu a ještě chvíli restujte. Zalijte 1,7 l horké vody a přidejte omytou řepu nakrájenou na kostky, čočku a kostku zeleninového bujonu. Přiveďte k varu, osolte a pozvolna vařte cca 25 minut."",""V malé pánvi na oleji orestujte dozlatova nahrubo nakrájený česnek, ke konci přidejte prohřát tymián."",""Kuskus vložte do malé misky, zalijte horkou vodou a nechte změknout."",""Do polévky přidejte 2/3 orestovaného česneku, smetanu, citronovou šťávu a rozmixujte."",""Polévku v talíři nebo misce doplňte kuskusem a ozdobte zbytkem česneku (i s olejem) a nasekanou pažitkou.""]"
vajickova-pomazanka-s-dynovymi-krekry,MERGE,Vajíčková pomazánka s dýňovými krekry,Sonnentor,,Tradiční vajíčková pomazánka v novém kabátku. Variantu s kešu ořechy si zamilujete.,"Požitek, Jaro, Velikonoce, Koření, Video recepty",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/84067/image-thumb__84067__thumb-slider/Vajickova-pomazanka-s-dynov%C3%BDmi-krekry-men%C5%A1%C3%AD.3344daf4.jpg,Vajíčková pomazánka s dýňovými krekry,recipes,vajickova-pomazanka-s-dynovymi-krekry-thumb.jpg,45,4,"bez laktózy, vegetariánské, bez lepku",,,,"orientalni-ledovy-caj, velikonocni-mrkvova-marmelada, vejce-do-skla, bezlepkovy-cokokolac, pikantni-jehneci-s-mrkvovo-zazvorovou-polentou, jehneci-filety-s-fenyklem-a-pomerancovou-omackou, jarni-dortik-sila-kvetu, ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1|hrnek|kešu ořechů"",""||šťávu z půlky citronu"",""2||vejce"",""2|lžíce|olivového oleje"",""150|g|dýňových semínek"",""100|ml|vody"",""5|lžic|olivového oleje"",""||sůl a pepř""]","koreni-na-vejce-bio-70g, sul-na-vejce-od-zajice-bio-90g-dozicka, beze-zbytku-bio-50g",Recept,"Díky květům chrpy a okvětním plátkům růže a slunečnice, které naše Sůl na vejce od zajíce obsahuje, bude jídlo nejen chutnat a vonět, ale i krásně vypadat.",,"[""Kešu ořechy namočte přes noc do vody. Vejce uvařte na tvrdo a nechte je vychladnout."",""Dýňová semínka rozmixujte na mouku. Přidejte sůl, pepř a jednu lžíci koření Beze zbytku. Postupně přimíchejte olivový olej a vodu. Těsto rozetřete na plech vyložený pečicím papírem a rozkrájejte na stejně velké obdelníčky. Pečte při teplotě 150°C asi 30 minut."",""Scezené ořechy vložte do mixéru, přidejte šťávu z půlky citronu, olivový olej a rozmixujte na kaši. Vejce oloupejte, nastrouhejte najemno a přidejte k ořechovému základu pomazánky. Ochuťte Kořením na vejce a Solí na vejce od zajíce.""]"
porkovy-ricotta-kolac,MERGE,Pórkový ricotta koláč,Sonnentor,,Nádherně svěží koláč s ricottou a pórkem.,"Vegetariánské & saláty, Jaro",REPLACE,TRUE,,https://www.sonnentor.com/global/recipes/84091/image-thumb__84091__thumb-slider/Lauch-Zitronenthymian%20Ricotta%20Tarte.c839a3f6.jpg,Pórkový ricotta koláč,recipes,porkovy-ricotta-kolac-thumb.jpg,60,1,vegetariánské,,,,"kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, orientalni-cizrnovy-gulas-s-datlemi, selska-bramborova-pizza, wongovy-ryzove-karbanatky, nakladane-ostruziny, nakladane-lisky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""500|g|brambor"",""1||vejce"",""1||cibule"",""2|lžíce|másla"",""2|lžíce|cizrnové mouky"",""||pečící papír"",""2|ks|pórku"",""2|lžíce|rostlinného oleje"",""1|lžička|kukuřičného škrobu"",""100|ml|smetany ke šlehání"",""500|g|ricotty"",""1||vejce"",""50|g|storuhaného parmezánu"",""1.5|lžíce|olivového oleje""]","muskatovy-orisek-bio-mlety-30g, chlebove-koreni-bio-hrube-mlete-45g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-barevny-bio-cely-50g, pepr-cerny-bio-mlety-50g, pepr-ruzovy-bio-cely-20g",Recept,,,"[""Předehřejte troubu na 220 °C. Oloupejte brambory a jemně je nastrouhejte pomocí struhadla na zeleninu. Oloupejte a jemně nakrájejte cibuli. Nastrouhané brambory a cibuli dejte do misky nebo kuchyňského robotu a smíchejte s vejcem, změklým máslem, cizrnovou moukou, špetkou muškátového oříšku, Chlebovým kořením, solí a pepřem. Směs prohněťte."",""Vyložte dortovou nebo dortovou formu pečicím papírem, přidejte bramborovou směs a prsty ji vtlačte do okrajů formy. Vložte formu do předehřáté trouby, snižte teplotu na 190 °C a pečte koláč asi 20 minut."",""Mezitím si na náplň omyjte pórek, podélně ho rozpůlte a nakrájejte na tenké kolečka. Na pánvi rozehřejte olej a orestujte pórek. Posypte kukuřičným škrobem. Přidejte polovinu smetany ke šlehání a ricottu. Snižte teplotu."",""V malé misce prošlehejte vejce se zbývající smetanou ke šlehání, solí, pepřem a špetkou muškátového oříšku a přidejte k pórku na pánvi. Vše dobře promíchejte a vmíchejte 1–2 lžíce parmazánu."",""Vyjměte formu na koláč s bramborovým těstem z trouby a na těsto rozetřete pórkovou směs. Posypte zbývajícím parmazánem a růžovým pepřem. Koláč pečte v troubě asi 15 minut. Pokapejte olivovým olejem a pečte dalších 10–20 minut, dokud bramborová kůrka nezezlátne. Na konci můžete koláč také několik minut grilovat. Nechte koláč asi 10 minut vychladnout a ztuhnout, poté nakrájejte na plátky a dobrou chuť.""]"
slane-muffiny-s-petrzelkou,MERGE,Slané muffiny s petrželkou,Sonnentor,,"Voňavá svačinka, kterou oceníte na výletě i v práci.","Udržitelnost, Koření, Bylinky, Video recepty",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/84146/image-thumb__84146__thumb-slider/Slane-muffiny-s-petrzelkou.597834bb.jpg,Slané muffiny s petrželkou,recipes,slane-muffiny-s-petrzelkou-thumb.jpg,50,4,"veganské, bez laktózy, vegetariánské",,,,"korenene-raw-placicky-se-zimnim-zeleninovym-salatem, zlaty-pampeliskovy-napoj-s-mangem, rajska-kremova-polevka-s-pikantnim-bujonem, stavnaty-pohankovy-salat-plny-cerstvych-klicku, testovinovy-salat-s-koprem, melounovy-salat-s-olivami-a-syrem, dynove-miniburgery-s-marinovanym-tofu, rychla-kavova-zmrzlina","Recepty, které by vám také mohly chutnat",,"[""200|g|hladké špaldové mouky"",""2|lžičky|prášku do pečiva"",""100|ml|rostlinného mléka"",""6|lžic|oleje"",""||velkou hrst petrželové nati"",""||sůl a pepř""]",beze-zbytku-bio-50g,Recept,Nať petržele je doslova nabitá vitamíny. Zařaďte ji pravidelně do svého jídelníčku.,,"[""Smíchejte mouku s práškem do pečiva a a přidejte lžíci koření Beze zbytku. Vše důkladně promíchejte. Postupně přimíchejte rostlinné mléko a olivový olej. Nakonec přidejte velkou hrst nasekané petrželové natě a znovu důkladně promíchejte."",""Silikonové formičky na pečení muffinů naplňte těstem a vložte do trouby předehřáté na 170 °C. Pečte 30–40 minut.""]"
sladci-rebarborovi-sneci,MERGE,Sladcí rebarboroví šneci,Sonnentor,,Sladcí a nadýchaní šneci s rebarborovou náplní a pomazánkou z lesních plodů.,"Jaro, Léto, Dezerty & sladké, Den matek",REPLACE,TRUE,,https://www.sonnentor.com/global/recipes/84166/image-thumb__84166__thumb-slider/Rhabarber%20Schnecken.37ce9c66.jpg,Sladcí rebarboroví šneci,recipes,sladci-rebarborovi-sneci-thumb.jpg,150,1,vegetariánské,,,,"jablecne-cupcaky, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, chai-mlecna-ryze, kavovy-lanyz, kouzelna-cokoladova-pena, orientalni-ledovy-caj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""600|g|špaldové mouky"",""0.5||kostky droždí"",""200|ml|vlažného mléka"",""100|g|kokosového cukru"",""150|g|přírodního skyru"",""80|g|měkkého másla"",""1||vejce"",""4||stonky rebarbory"",""2|lžíce|kokosového cukru"",""1||sklenice džemu z lesních plodů"",""1||žloutek"",""1|lžíce|mléka"",""50|g|mandlí""]","ayurvedska-kouzelna-sul-jemna-konv-150g, vanilka-bio-mleta-10-g",Recept,,,"[""Do velké mísy nasypte mouku a sůl. Droždí rozpusťte ve vlažném mléce a přidejte ho k mouce spolu se všemi ostatními ingrediencemi na těsto."",""Hněťte hnětacím hákem kuchyňského robotu na nejnižší rychlost po dobu 5 minut, dokud nezískáte hladké těsto."",""Těsto přikryjte a nechte kynout 1 hodinu."",""Plech posypte trochou mouky a na něj položte těsto. Povrch těsta posypte trochou mouky. Těsto rozválejte na obdélník o tloušťce asi 2 cm."",""Rebarboru nakrájejte na plátky a smíchejte s vanilkovým a kokosovým cukrem."",""Na rozválené těsto rozetřete džem a posypte kousky rebarbory."",""Těsto podélně rozválejte. Roládu nakrájejte ostrým nožem na 10–12 kusů."",""Vymažte dva plechy na pečení máslem. Vložte těstové šneky do formiček (maximálně 5–6 kusů do formy – mezi těstovými šneky by měla být stále mezera)."",""Přikryjte a nechte kynout dalších 20 minut. Předehřejte troubu na 170 °C."",""Žloutek rozšlehejte s trochou mléka a potřete jím šneky. Dle chuti posypte mandlemi."",""Pečte šneky v rozpálené troubě asi 40–45 minut dozlatova. Nechte vychladnout a dobrou chuť!""]"
slany-rebarborovy-kolac,MERGE,Slaný rebarborový koláč,Sonnentor,,"Výtečný koláč s rebarborou, kozím sýrem, medem a tymiánem.","Jaro, Požitek, Léto",REPLACE,TRUE,,https://www.sonnentor.com/global/recipes/84169/image-thumb__84169__thumb-slider/Rhabarber%20Flammkuchen.772a70b0.jpg,Slaný rebarborový koláč,recipes,slany-rebarborovy-kolac-thumb.jpg,30,2,vegetariánské,,,,"lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, boruvkovy-kolac-peceny-v-hrnku, grilovane-vege-dobrutky, melounovo-matova-limonada","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""250|g|špaldové mouky"",""150|ml|vody"",""3|lžíce|olivového oleje"",""150|g|zakysané smetany"",""||nastrouhaná kůra z poloviny citronu"",""4||stonky rebarbory"",""2||jarní cibulky"",""250|g|kozí sýr"",""4|lžičky|medu"",""100|g|vlašských ořechů"",""||trochu olivového oleje"",""||trochu čerstvé rukoly""]","ayurvedska-kouzelna-sul-jemna-konv-150g, pyramid-salt-65-g, tymian-bio-20g, citronovy-pepr-bio-70g",Recept,,,"[""Uhněťte rukama všechny suroviny na těsto do hladka. Na pomoučené pracovní ploše je rozdělte na 4 díly a rozválejte je přímo na listech pečicího papíru poprášených moukou na tenké placky."",""Smíchejte zakysanou smetanu (nebo crème fraîche) s trochou citronové kůry a soli."",""Rebarboru a jarní cibulku nakrájejte na tenké plátky."",""Předehřejte troubu na 220 °C."",""Těstové placky potřete zakysanou smetanou. Rozložte na ně kousky rebarbory, jarní cibulku a kozí sýr. Posypte ořechy, tymiánem a citronovým pepřem. Každou placku pokapejte 1 lžičkou medu a trochou olivového oleje."",""Pečte v troubě asi 15 minut do křupava."",""Vyjměte z trouby, posypte pyramidální solí a podávejte ještě teplé. Podle chuti dozdobte několika listy čerstvé rukoly.""]"
koprivova-polevka-s-cizrnou,MERGE,Kopřivová polévka s cizrnou,Sonnentor,,"Jarní kopřivy rostou všude, kam se podíváte. Nevyužít takový poklad by byl hřích.","Jaro, Detox, Bylinky",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/96325/image-thumb__96325__thumb-slider/Koprivova-polevka-s-cizrnou.6838247e.jpg,Kopřivová polévka s cizrnou,recipes,koprivova-polevka-s-cizrnou-thumb.jpg,45,5,"veganské, bez lepku, bez laktózy, vegetariánské",,,,"orientalni-ledovy-caj, vejce-do-skla, bezlepkovy-cokokolac, jarni-dortik-sila-kvetu, ledovy-caj, michany-bylinkovy-napoj-pro-spravne-rarasky, zazvorovo-citronovy-koktejl-s-pomeranci, napoj-stesti2","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""130|g|mladých kopřivových listů"",""2||menší cibule"",""4|lžíce|olivového oleje"",""200|g|uvařené cizrny"",""1||středně velkou bramboru"",""1||středně velkou mrkev"",""1|lžička|soli"",""3|stroužky|česneku"",""||jarní bylinky na ozdobení (jarní cibulka, pampeliškové listy, medvědí česnek)""]","santina-tandoori-masala-bio-32g, zeleninova-polevka-sv-hildegardy-bio-cz",Recept,"Nejpříhodnějším obdobím pro sběr kopřiv je březen a duben. Vybavte se rukavicemi a vyražte do přírody. Ideální místa, kde mladé kopřivy sbírat, jsou lesy, stinné stráně a okolí vodních toků.",,"[""Kopřivy důkladně umyjte a zbavte je kořínků a tuhých stonků. Spařte je horkou vodou a nechte okapat. Takto připravené kopřivy vložte do misky, zalijte je vroucí vodou a nechte je ve vodě cca 1 minutu. Potom je zceďte a jemně vyždímejte."",""Oloupanou cibuli nakrájejte na kostky a na rozehřátém oleji ji pozvolna restujte. Cibuli zasypejte vrchovatou lžičkou koření Šántina tandoori masala. Pár vteřin ještě restujte a potom zalijte 1,6 l vlažné vody."",""Přidejte uvařenou cizrnu, na kostky nakrájenou bramboru a mrkev, kostku bujónu a sůl. Polévku pozvolna vařte, dokud brambory nezačnou měknout."",""Nakonec přidejte česnek a kopřivy a nechte vše ještě minutu vařit. Polévku rozmixujte na jemný krém a ozdobte jarními bylinkami.""]"
jarni-zel-e-ny-salat-se-zdobenim,MERGE,Jarní zel(e)ný salát se zdobením,Sonnentor,,"I obyčejný salátek se může stát středobodem menu, stačí ho trochu vylepšit tím správním sypáním.","Jarní kuchyně, Vegetariánské & saláty, S sebou",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/84746/image-thumb__84746__thumb-slider/jarni%20zel%28e%29ny%20salat.cbd1f168.jpg,Jarní zel(e)ný salát se zdobením,recipes,jarni-zel-e-ny-salat-se-zdobenim-thumb.jpg,20,2,"veganské, bez lepku, bez laktózy, vegetariánské",,,,"cokoladove-grissini, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, knedliky, orientalni-cizrnovy-gulas-s-datlemi, selska-bramborova-pizza, wongovy-ryzove-karbanatky, nakladane-ostruziny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""0.5||hlávky bílého zelí"",""0.5||salátové okurky"",""||menší svazky jarní cibulky"",""||hrst pažitky"",""||menší svazek bazalky"",""2|lžíce|šťávy z citronu"",""40|g|čerstvého špenátu"",""1|stroužek|česneku"",""6|lžic|olivového oleje"",""3|lžíce|octa"",""3|lžíce|vody"",""1|lžíce|ovesných vloček"",""40|g|vlašských ořechů"",""||Zdobení na salát""]",ayurvedska-kouzelna-sul-jemna-konv-150g,Recept,,,"[""Všechny ingredience na salát omyjte a nakrájejte: zelí a okurek na tenké proužky, cibulku a pažitku nadrobno."",""Přísady na dresink spolu rozmixujte dohladka, nalijte na salát a dobře promíchejte. Jemně dochuťte solí a na závěr dozdobte štědrou špetkou Zdobení na salát.""]"
bbq-kukurice,MERGE,BBQ kukuřice,Sonnentor,,"Tyto pikantní kukuřičné klasy jsou perfektním způsobem, jak zahájit grilovací sezónu!","Grilování, Rychlá kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/global/recipes/84821/image-thumb__84821__thumb-slider/BBQ%20Cornribs-05.3b6f595f.jpg,BBQ kukuřice,recipes,bbq-kukurice-thumb.jpg,30,1,"veganské, bez laktózy, vegetariánské",,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, orientalni-ledovy-caj, wongovy-ryzove-karbanatky, nakladane-ostruziny, boruvkovy-kolac-peceny-v-hrnku","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""4||vařené kukuřice"",""4|lžíce|olivového oleje"",""1|lžíce|sójové omáčky""]","rub-me-tender-bio-60g, smokey-paprika-bio-uzena-50g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-cerny-bio-mlety-50g, cesnek-bio-granulovany-40g",Recept,,,"[""Nejprve rozpůlte uvařené kukuřičné klasy a poté je podélně rozčtvrťte."",""V míse dobře smíchejte všechny ostatní ingredience a poté kukuřici obalte ve směsi."",""Kořeněné kousky kukuřice rozložte na plech vyložený pečicím papírem a pečte přibližně 20–25 minut při 180 °C."",""Podávejte s vaším oblíbeným dipem a dobrou chuť!""]"
zeleninova-panev-s-volskymi-oky,MERGE,Zeleninová pánev s volskými oky,Sonnentor,,"Vydatné jídlo plné těch nejlepších dobrot, které si zamilujete.",,REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/84835/image-thumb__84835__thumb-slider/zeleninova-panev-s-volskymi-oky.9153839c.png,Zeleninová pánev s volskými oky,recipes,zeleninova-panev-s-volskymi-oky-thumb.jpg,30,4,"vegetariánské, bez lepku, bez laktózy",,,,,,,"[""1|kg|uvařených brambor"",""4||mrkve"",""1||cuketu"",""0.25||pórku"",""1||červenou cibuli"",""2|stroužky|česneku"",""1|hrst|špenátových listů"",""1|hrst|kadeřavé kapusty"",""||čerstvou petrželku"",""||dýňových semínek"",""||sůl a pepř"",""4||vejce"",""||olivového oleje""]",beze-zbytku-bio-50g,Recept,Zeleninovou pánev můžete připravit pokaždé jinak. Používejte sezónní suroviny a nebojte se být originální.,,"[""Uvařené a vychladlé brambory oloupejte a nakrájejte na kolečka."",""Cibuli a česnek oloupejte. Cibuli nakrájejte na měsíčky a česnek nakrájejte nahrubo."",""Mrkev, cuketu a pórek nakrájejte na kostky."",""V hluboké pánvi rozehřejte olej. Opečte brambory, přidejte cibuli, mrkev, pórek, cuketu a česnek. Směs restujte do změknutí zeleniny."",""Jídlo osolte, opepřete a přidejte dvě lžičky koření Beze zbytku."",""Nakonec přidejte čerstvý špenát a kapustu a posypte díňovými semínky.""]"
pohankova-kase-s-bananem,MERGE,Pohanková kaše s banánem,Sonnentor,,Nahraďte ovesnou klasiku jemnou oříškovou chutí pohanky a užijte si ráno nabité energií!,"Dezerty & sladké, Rychlá kuchyně, Snídaně",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/87489/image-thumb__87489__thumb-slider/232x290%20%2837%29.0baac251.png,Pohanková kaše s banánem,recipes,pohankova-kase-s-bananem-thumb.jpg,20,2,"bez lepku, vegetariánské",,,,"jablecne-cupcaky, polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena","Recepty, které by vám také mohly chutnat",,"[""250|ml|mléka"",""250|ml|vody"",""||několik lžic instantní pohankové kaše nebo cca 70 g pohanky"",""||polovinu banánů"",""||lžíci medu"",""||pár kousků ovoce nebo oříšků""]",charlieho-koreni-do-kase-bio-70-g,Recept,"Když uděláte kaši trochu hustší, nalijte ji do pudinkových formiček. Po vychladnutí bude skvěle držet tvar!",,"[""Rozehřejte vodu s mlékem a postupně vmíchávejte instantní kaši do zhoustnutí. V případě celé pohanky ji nechte bublat do měkka, zhruba čtvrt hodinky."",""Přidejte polovinu rozmačkaného banánu, lžíci medu a necelou lžíci koření. Kaši rozmixujte tyčovým mixérem do hladké konzistence."",""Rozdělte do misek, dozdobte ji ovocem či oříšky dle fantazie a podávejte.""]"
tvarohovy-dort-bez-mouky,MERGE,Tvarohový dort bez mouky,Sonnentor,,"Lehký dort bez zrnka mouky s ovocnou želé vrstvou nahoře bude skvělý nejen k narozeninám, ale i jako jemný letní dezert ke kávě.","Pečení, Koření - květy, Dezerty & sladké",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/84975/image-thumb__84975__thumb-slider/tvarohovy-dort-bez-mouky.8e37875c.jpg,Tvarohový dort bez mouky,recipes,tvarohovy-dort-bez-mouky-thumb.jpg,80,8,vegetariánské,,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz","Recepty, které by vám také mohly chutnat",,"[""4||vejce"",""1||banány"",""2|lžíce|medu"",""500|g|plnotučného tvarohu"",""2|lžíce|nastrouhané citronovou kůru"",""1|balení|vanilkového pudingu"",""1|lžíce|škrobu"",""300|g|skyru"",""400|g|(mraženého) lesního ovoce"",""1|sáček|čiré dortové želatiny""]",sila-kvetu-smes-kvetu-a-koreni-bio-35g,Recept,,,"[""V míse spolu vyšlehejte rozmačkaný banán, tvaroh, jogurt, med, pudink, škrob a citronovou kůru."",""Vzniklé těsto nalijt do kulaté formy o průměru cca 20 cm (dno formy vyložte pečicím papírem) a dejte ho péct do předehřáté trouby při 170 stupních zhruba 20 minut. Poté teplotu snižte na 150 stupňů a pečte ještě dalších 25 minut."",""Upečený dort nechte chládnout a mezitím si připravte želé: želatinu připravte dle návodu na sáčku, vmíchejte do ní lesní ovoce (můžete zvolit kousky nebo ho rozmixovat na jemnou pastu). Vlažnou želatinu vlijte na povrch dortu, posypte kořením a dejte dobře vychladit.""]"
kavova-zmrzlina-jinak,MERGE,Kávová zmrzlina jinak,Sonnentor,,Milujete kávovou zmrzlinu? Vyzkoušejte tuto lahodnou osvěžující pochoutku s pampeliškovým kafem. Chutná famózně.,"Léto, Jde to i jinak, Káva",REPLACE,TRUE,,https://www.sonnentor.com/cz/recipes/84992/image-thumb__84992__thumb-slider/kavova-zmrzlina-jinak.97ffb3bd.jpg,Kávová zmrzlina jinak,recipes,kavova-zmrzlina-jinak-thumb.jpg,10,4,"vegetariánské, bez laktózy, bez lepku, veganské",,,,"lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, boruvkovy-kolac-peceny-v-hrnku, grilovane-vege-dobrutky, melounovo-matova-limonada","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""4||zralé banány"",""||Pampeliškové kafe"",""0.25|lžička|mandlové roma""]",vanilka-extrakt-bio-etericky-olej-5-ml,Recept,Zmrzlinu z pampeliškového kafe si mohou bez obav dopřát i všechny mlsné těhotné a kojící maminky. Je 100% bezkofeinová.,,"[""Zralé banány nakrájejte na silnější kolečka (cca 1,5 cm), vložte je do uzavíratelné dózy a nechte je přes noc v mrazáku pořádně zmrznout."",""Druhý den vložte zmražené kousky banánu do mixéru, přidejte dvě polévkové lžíce pampeliškového kafe, pár kapek éterického oleje z vanilky a mandlovou pastu. Všechny ingredience společně rozmixujte na homogenní směs."",""Směs vrstvěte do skleniček nebo misek. Můžete ji proložit domácí čokoládovou pěnou.""]"
